"month";"category";"revenue";"units";"avg_price"
"2018-08";"portateis_cozinha_e_preparadores_de_alimentos";1803.6;4;450.9
"2018-08";"signaling_and_security";1825.59;22;82.981364
"2018-08";"small_appliances";6168.06;23;268.176522
"2018-08";"small_appliances_home_oven_and_coffee";2996.72;17;176.277647
"2018-08";"sports_leisure";50860.18;471;107.983397
"2018-08";"stationery";15445.65;169;91.394379
"2018-08";"telephony";36572.91;271;134.955387
"2018-08";"toys";16923.75;165;102.568182
"2018-08";"uncategorized";2199.05;31;70.937097
"2018-08";"watches_gifts";69767.06;411;169.749538
